,0
0,Kendriya Terminal
1,Dr RML Hospital
2,NDPO
3,Regal Cinema
4,Upper Ridge Road
5,Railway Colony
6,L N  Tample
7,Mandir Marg
8,Palika Kendra
9,Krishi Bhawan
10,Ridge Road Xing
11,Talkatora Garden
12,Shadi Pur Depot
13,Ridge Road
14,Shankar Road
15,Jantar Mantar
16,Patel Chowk
17,Vigyan Bhawan
18,Central Secretariat
19,Shivaji Stadium
20,Chitra Gupta Road
21,New Delhi Railway Station Gate  II
22,Mandi House
23,Super Bazar CP
24,New Delhi Railway Station Gate  I
25,Akashvani Bhawan
26,A I R 
27,Statesman
28,Vivekanand Road
29,Gole Market
30,Pusa Road Petrol Pump
31,Govt Press
32,Raghubir Nagar F  Blk
33,Meghdoot Bhawan
34,Punchkuian Raod
35,Pahar Ganj Police Station
36,Faiz Road
37,Karol Bagh Terminal
38,DB Gupta Market
39,Ajmeri Gate
40,Karol Bagh
41,Rani Jhansi Road   Id Gah   
42,Sadar Thana
43,Sucheta Kriplani Hospital
44,Guru Govind Singh Marg
45,Ice Factory
46,Rabindra Rangshala
47,Sarai Rohilla
48,Filmistan
49,Liberty
50, Keekarwala Chowk
51,Subhadra Cly
52,Shastri Bagh E  Blk
53,Anand Parvat
54,Zakhira
55,Daya Basti
56,D B  Gupta Rd
57,Gulabi Bagh
58,Wazir Pur JJ Cly
59,Keshav Puram B  3
60,Inderlok
61,Kanhiya Nagar
62,Tri Nagar Jai Mata Market
63,Ashok Vihar Ph  I
64,Deep Market
65,Ashok Vihar Water Tank
66,I  blk Ashok Vihar
67,Inderlok Metro Station
68,Ashok Vihar Xing
69,Anand Vihar Bus Terminal
70,New Delhi Railway Station
71,Fateh Puri
72,Keshavpur Depot
73,Karam Pura Terminal
74,Naraina Depot
75,Wp Ngr
76,West Patel Nagar
77,Moti Nagar East
78,Punjabi Bagh Terminal
79,New Moti Nagar
80,Britania Biscuit Factory
81,Ramesh Nagar
82,Raja Garden
83,Tilak Nagar
84,Lajpat Nagar
85,Mp Chowk
86,Punjabi Bagh Xing
87,Shivaji Park
88,Madi Pur Village
89,Wazir Pur Depot
90,Madipur JJ Cly
91,Punjabi Bagh Club
92,Punjabi Bagh
93,Punjabi Bagh Extention
94,Ram pura
95,Syndicate Bank Chattarpur
96,Keshav Puram A  1
97,Shakur Pur Shiv Mandir
98,Madipur
99,Sahkur Basti Ordinance Depot
100,Multan Nagar
101,Ordinance Depot
102,Ambedkar Stadium
103,Oardines Depot
104,Peera Garhi
105,Mangol Puri B  Blk
106,Inder Enclave
107,Jawala Puri
108,Mangolpur School
109,Jwala Puri
110,Peera Garhi Depot
111,Udyog Nagar
112,Nangloi
